"","council","reference","date_received","date_validated","address","description","applicant","agent","status","decision","decision_date","category","search_term","url","decision_clean","address_clean","postcode","pc_lat","pc_lon","g_lat","g_lon","g_status","lat","lon","geometry"
"52","Cherwell","10/01067/F",NA,NA,"Brooklands 2 Nursing Home
11 Old Parr Road
Banbury
Oxfordshire
OX16 5HT","extension of second floor roof structure to create residents lounge at rear.","Mr Mark Taylor","Frances Morrow","application permitted","delegated","01/09/2010","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/10/01067/F","approved","Brooklands 2 Nursing Home 11 Old Parr Road Banbury Oxfordshire OX16 5HT","OX16 5HT",52.056953,-1.337357,NA,NA,NA,52.056953,-1.337357,c(-1.337357, 52.056953)
"53","Cherwell","10/00131/F",NA,NA,"Yarnton House
Rutten Lane
Yarnton
Kidlington
Oxfordshire
OX5 1LW","demolition of existing building and construction of a two storey nursing home (100 bedrooms) together with associated communal space, landscaping, amenity space and parking.","Sanctuary Group","AKA Planning","application permitted","committee","30/04/2010","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/10/00131/F","approved","Yarnton House Rutten Lane Yarnton Kidlington Oxfordshire OX5 1LW","OX5 1LW",51.80708,-1.31216,NA,NA,NA,51.80708,-1.31216,c(-1.31216, 51.80708)
"54","Cherwell","09/01526/F",NA,NA,"Wardington House
Wardington
Oxfordshire
OX17 1SD","proposed extension to provide internal link of existing rooms to main nursing home building, incorporating new staircase to replace existing and new hallway","Wardington House Partnership","Acanthus Clews Architects","application permitted","delegated","21/12/2009","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/09/01526/F","approved","Wardington House Wardington Oxfordshire OX17 1SD","OX17 1SD",52.116208,-1.285919,NA,NA,NA,52.116208,-1.285919,c(-1.285919, 52.116208)
"55","Cherwell","09/00899/F",NA,NA,"Brooklands Nursing Home
11 Old Parr Road
Banbury
Oxfordshire
OX16 5HT","removal of 2no. velux rooflights and replacement with dormer window.","Brooklands 2 Ltd","Frances Morrow","application permitted","delegated","27/08/2009","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/09/00899/F","approved","Brooklands Nursing Home 11 Old Parr Road Banbury Oxfordshire OX16 5HT","OX16 5HT",52.056953,-1.337357,NA,NA,NA,52.056953,-1.337357,c(-1.337357, 52.056953)
"56","Cherwell","08/02594/F",NA,NA,"Land Adjacent Exeter Farm And North Of Cassington Road
Cassington Road
Yarnton
Oxfordshire","erection of a nursing home (64 beds), access and ancillary works including car-park","Berkeley Homes (Oxford & Chiltern) Ltd","JPPC","application permitted","committee","29/04/2009","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/08/02594/F","approved","Land Adjacent Exeter Farm And North Of Cassington Road Cassington Road Yarnton Oxfordshire",NA,NA,NA,51.8048293,-1.3114346,"ok",51.8048293,-1.3114346,c(-1.3114346, 51.8048293)
"57","Cherwell","08/02473/F",NA,NA,"Yarnton House
Rutten Lane
Yarnton
Kidlington
Oxfordshire
OX5 1LP","demolition of existing building and construction of a two storey nursing home together with associated communal space, landscaping, amenity space and parking (as amended by site layout plan - drwng no. plo3 rev f received 12.02.09 with agent's letter dated 11.02.09).","Sanctuary Group","PRP Planning","application permitted","committee","03/03/2009","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/08/02473/F","approved","Yarnton House Rutten Lane Yarnton Kidlington Oxfordshire OX5 1LP","OX5 1LP",NA,NA,51.8092438,-1.3122429,"ok",51.8092438,-1.3122429,c(-1.3122429, 51.8092438)
"58","Cherwell","08/01304/F",NA,NA,"Brooklands Nursing Home
12 - 14 Dashwood Road
Banbury
Oxfordshire
OX16 5HD","boundary walls and railings (as amplified and modified by plans accompanying agents letter received in the department on 23/07/2008)","Brooklands Nursing Home","Frances Morrow","application permitted","delegated","24/07/2008","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/08/01304/F","approved","Brooklands Nursing Home 12 - 14 Dashwood Road Banbury Oxfordshire OX16 5HD","OX16 5HD",52.058357,-1.337569,NA,NA,NA,52.058357,-1.337569,c(-1.337569, 52.058357)
"59","Cherwell","08/00948/F",NA,NA,"Cherwood House Nursing Home
Buckingham Road
Bicester
Oxfordshire
OX27 8RA","erection of 10 no. single storey assisted living units inconnection with main use of cherwood house, including new internal site access, car parking and landscaping.","Ellenbern Holdings Ltd","Kemp And Kemp Property Consultants","application withdrawn","committee","12/06/2008","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/08/00948/F","withdrawn","Cherwood House Nursing Home Buckingham Road Bicester Oxfordshire OX27 8RA","OX27 8RA",51.922359,-1.138855,NA,NA,NA,51.922359,-1.138855,c(-1.138855, 51.922359)
"60","Cherwell","08/00708/F",NA,NA,"Manor House Nursing Home
Merton
Bicester
Oxfordshire
OX25 2NF","erection of pvcu conservatory","Mrs M Asham","Anglian Home Improvements","application permitted","delegated","08/05/2008","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/08/00708/F","approved","Manor House Nursing Home Merton Bicester Oxfordshire OX25 2NF","OX25 2NF",51.855678,-1.16227,NA,NA,NA,51.855678,-1.16227,c(-1.16227, 51.855678)
"61","Cherwell","07/02446/F",NA,NA,"Fewcott House Nursing Home
Fritwell Road
Fewcott
Oxfordshire
OX27 7NZ","construction of single storey and part two storey extensions and insertion of new windows (as amended by drawing received 19/01/08 and 12/02/08)","Fewcott Healthcare Ltd","Coleman Hicks Partnership","application permitted","committee","28/03/2008","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/07/02446/F","approved","Fewcott House Nursing Home Fritwell Road Fewcott Oxfordshire OX27 7NZ","OX27 7NZ",51.94775,-1.215977,NA,NA,NA,51.94775,-1.215977,c(-1.215977, 51.94775)
"62","Cherwell","07/01392/F",NA,NA,"Orchard Cottage
Fewcott House
Water Lane
Fewcott
Oxfordshire
OX27 7NX","proposed modifications to existing access drive and site entrance to form separate access to both nursing home and orchard cottage (resubmission of 06/02401/f)(as amended by drawing received 01/10/07)","Mr And Mrs Harrison","Steve Karpa Architectural Detailing","application permitted","delegated","03/01/2008","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/07/01392/F","approved","Orchard Cottage Fewcott House Water Lane Fewcott Oxfordshire OX27 7NX","OX27 7NX",51.946289,-1.215318,NA,NA,NA,51.946289,-1.215318,c(-1.215318, 51.946289)
"63","Cherwell","07/01852/F",NA,NA,"Greenpastures Nursing Home
The Hawthorns
Oxford Road
Banbury
Oxfordshire
OX16 9FA","conversion of care bedroom with new attached conservatory for residents day room","Mr J Langridge","J Williamson Associates","application permitted","delegated","26/10/2007","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/07/01852/F","approved","Greenpastures Nursing Home The Hawthorns Oxford Road Banbury Oxfordshire OX16 9FA","OX16 9FA",52.050074,-1.332456,NA,NA,NA,52.050074,-1.332456,c(-1.332456, 52.050074)
"64","Cherwell","07/01641/F",NA,NA,"11 Old Parr Road, 10a And 10b Calthorpe Road
Banbury
Oxon","amendments to permission 06/00328/f (two storey rear extension to nursing home, demolition of 2 no. dwellings, 6 no. outbuildings and alterations of access and parking)","Brooklands 2 Ltd","Francis Morrow Architect","application permitted","delegated","04/10/2007","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/07/01641/F","approved","11 Old Parr Road, 10a And 10b Calthorpe Road Banbury Oxon",NA,NA,NA,52.0568108,-1.3380388,"ok",52.0568108,-1.3380388,c(-1.3380388, 52.0568108)
"65","Cherwell","07/01349/F",NA,NA,"Brooklands Nursing Home
Dashwood Road
Banbury
Oxfordshire
OX16 5HD","demolish existing boundary walls to dashwood road, remove steps to no.14 dashwood road and construct walled ramp and railings","Brooklands Nursing Home","N D Price","application refused","committee","21/09/2007","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/07/01349/F","refused","Brooklands Nursing Home Dashwood Road Banbury Oxfordshire OX16 5HD","OX16 5HD",52.058357,-1.337569,NA,NA,NA,52.058357,-1.337569,c(-1.337569, 52.058357)
"66","Cherwell","07/01443/F",NA,NA,"Wardington House
Wardington
Oxfordshire
OX17 1SD","alterations to stable block to provide improved care facilities including enlargement of window to door opening and conversion of door to window opening.","Wardington House Nursing Home","Acanthus Clews Architects","application permitted","delegated","05/09/2007","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/07/01443/F","approved","Wardington House Wardington Oxfordshire OX17 1SD","OX17 1SD",52.116208,-1.285919,NA,NA,NA,52.116208,-1.285919,c(-1.285919, 52.116208)
"67","Cherwell","06/02498/F",NA,NA,"Godswell House
Church Street
Bloxham
Oxfordshire
OX15 4ES","proposed extension to include 6 no. closecare units and 2 no. bedrooms to the approved 28 no. bed nursing home (ref: 05/01474/f)","Godswell Park Ltd","Acanthus Clews Architects","application permitted","committee","02/03/2007","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/06/02498/F","approved","Godswell House Church Street Bloxham Oxfordshire OX15 4ES","OX15 4ES",52.018118,-1.372962,NA,NA,NA,52.018118,-1.372962,c(-1.372962, 52.018118)
"68","Cherwell","06/01264/F",NA,NA,"Brooklands Nursing Home
12 And 14 Dashwood Road
Banbury
Oxfordshire
OX16 5HD","amendments to planning permission 05/00434/f - extension to rear of stairwell link building and addition of lift housing to rear roof slope","Brooklands 1 Ltd","Frances Morrow","application permitted","delegated","08/08/2006","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/06/01264/F","approved","Brooklands Nursing Home 12 And 14 Dashwood Road Banbury Oxfordshire OX16 5HD","OX16 5HD",52.058357,-1.337569,NA,NA,NA,52.058357,-1.337569,c(-1.337569, 52.058357)
"69","Cherwell","06/01206/F",NA,NA,"St Annes Residential Home
Main Street
Clifton
Oxfordshire
OX15 0PA","additional wing to nursing home.","Rural Care Ltd","Mr R A Sutton","application permitted","delegated","11/08/2006","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/06/01206/F","approved","St Annes Residential Home Main Street Clifton Oxfordshire OX15 0PA","OX15 0PA",51.982018,-1.290295,NA,NA,NA,51.982018,-1.290295,c(-1.290295, 51.982018)
"70","Cherwell","06/00273/F",NA,NA,"St Annes Residential Home 
Clifton
Banbury
Oxon
OX15 0PA","additional wing to nursing home (additional plans received 21/03/06)","Rural Care Ltd","Mr R A Sutton","application withdrawn","delegated","30/05/2006","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/06/00273/F","withdrawn","St Annes Residential Home Clifton Banbury Oxon OX15 0PA","OX15 0PA",51.982018,-1.290295,NA,NA,NA,51.982018,-1.290295,c(-1.290295, 51.982018)
"71","Cherwell","06/00328/F",NA,NA,"11 Old Parr Road, 10a And 10b Calthorpe Road
Banbury
Oxon","two storey rear extension to nursing home, demolition of 2 no. dwellings, 6 no. outbuildings and alterations of access and parking","Brooklands 2 Ltd","Francis Morrow Architect","application permitted","committee","18/04/2006","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/06/00328/F","approved","11 Old Parr Road, 10a And 10b Calthorpe Road Banbury Oxon",NA,NA,NA,52.0568108,-1.3380388,"ok",52.0568108,-1.3380388,c(-1.3380388, 52.0568108)
"72","Cherwell","05/01375/F",NA,NA,"Glebefields Nursing Home
Stratford Road
Drayton
Banbury
Oxon
OX15 6EH","amendment to approved plans (ref. 04/00562/f) to alter single-storey extension to 2 no. en-suite bedrooms 34 and 35, change bedrooms to lounge adjacent to bedrooms 33 and 36. install new window to landing adjacent bedroom 27 and add new window to first floor lounge","Glebefields Nursing Home","Roger Selby","application permitted","delegated","24/10/2005","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/05/01375/F","approved","Glebefields Nursing Home Stratford Road Drayton Banbury Oxon OX15 6EH","OX15 6EH",52.072942,-1.375843,NA,NA,NA,52.072942,-1.375843,c(-1.375843, 52.072942)
"73","Cherwell","05/00899/F",NA,NA,"Home Farm 
Wardington
Banbury
Oxon","1 no new dwelling including alterations to site layout and gardens etc to existing dwelling (as amended by plans received 22/06/05)","Wardington House Nursing Home Partnership","Acanthus Clews Architects","application withdrawn","delegated","23/08/2005","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/05/00899/F","withdrawn","Home Farm Wardington Banbury Oxon",NA,NA,NA,52.0629009,-1.339775,"ok",52.0629009,-1.339775,c(-1.339775, 52.0629009)
"74","Cherwell","05/00709/F",NA,NA,"Vicarage Cottage
Wardington
Banbury
Oxon
OX17 1SA","demolition of existing outbuildings. rebuild to form single storey accommodation with new driveway access, together with the installation of timber access gates (retrospective) (as amended by plans received 11/05/05)","Wardington House Nursing Home Partnership","Acanthus Clews Architects","application permitted","delegated","12/08/2005","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/05/00709/F","approved","Vicarage Cottage Wardington Banbury Oxon OX17 1SA","OX17 1SA",52.114755,-1.284949,NA,NA,NA,52.114755,-1.284949,c(-1.284949, 52.114755)
"75","Cherwell","05/00434/F",NA,NA,"Brooklands Nursing Home  14 Dashwood Road And
12 Dashwood Road
Banbury
Oxon
OX16 8HD","two storey rear extension and link incorporating 12 dashwood road. removal of wall and outbuilding with car parking (as amended by plans received 06/06/05)","Brooklands 1 Ltd","Frances Morrow","application permitted","committee","02/09/2005","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/05/00434/F","approved","Brooklands Nursing Home 14 Dashwood Road And 12 Dashwood Road Banbury Oxon OX16 8HD","OX16 8HD",NA,NA,52.0580823,-1.3376757,"ok",52.0580823,-1.3376757,c(-1.3376757, 52.0580823)
"76","Cherwell","04/02440/F",NA,NA,"St Annes Residential Home 
Clifton
Banbury
Oxon
OX15 0PA","erection of additional wing to nursing home (revision of scheme previously approved - 04/00546/f) (as amended by drawing nos. 03/4/11b, 03/4/7 and 03/4/9b received on 7 february 2005 accompanied by agent's letter).","Rural Care Ltd","R A Sutton Dip. TP MRTPI","application permitted","committee","01/04/2005","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/04/02440/F","approved","St Annes Residential Home Clifton Banbury Oxon OX15 0PA","OX15 0PA",51.982018,-1.290295,NA,NA,NA,51.982018,-1.290295,c(-1.290295, 51.982018)
"77","Cherwell","04/01653/F",NA,NA,"Manor House Nursing Home
Main Street
Merton
Bicester
Oxon","change of use of existing creche to eight bed convalescent ward.","European Care UK Ltd","Banks Design","application permitted","committee","01/10/2004","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/04/01653/F","approved","Manor House Nursing Home Main Street Merton Bicester Oxon",NA,NA,NA,51.855662,-1.1623191,"ok",51.855662,-1.1623191,c(-1.1623191, 51.855662)
"78","Cherwell","04/01586/F",NA,NA,"Heathfield House Nursing Home 
Heathfield
Bletchingdon
Kidlington
Oxon
OX5 3DX","erection of first floor extension to form secondary stair enclosure.","Heathfield House Nursing Home","Richard MacAngus","application permitted","delegated","21/09/2004","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/04/01586/F","approved","Heathfield House Nursing Home Heathfield Bletchingdon Kidlington Oxon OX5 3DX","OX5 3DX",51.847422,-1.242966,NA,NA,NA,51.847422,-1.242966,c(-1.242966, 51.847422)
"79","Cherwell","03/01169/F",NA,NA,"Manor House Nursing Home
Main Street
Merton
Bicester
Oxon","erection of five units of close care accommodation, access and car parking (as amended by plans received 29.03.04).","Mr R Sidhu","Dan Templeton","application permitted","committee","19/07/2004","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/03/01169/F","approved","Manor House Nursing Home Main Street Merton Bicester Oxon",NA,NA,NA,51.855662,-1.1623191,"ok",51.855662,-1.1623191,c(-1.1623191, 51.855662)
"80","Cherwell","04/00562/F",NA,NA,"Glebefields Nursing Home
Drayton
Banbury
Oxon
OX15 6EH","single and two storey extensions to rear and sides housing 32 no bedrooms, dining rooms, kitchen and ancillary rooms. amendment to approval 99/00484/f (as amended by plans accompanying agent's letter received in the department on 30 june 2004).","Glebefields Nursing Home","Mr R Selby","application permitted","committee","23/07/2004","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/04/00562/F","approved","Glebefields Nursing Home Drayton Banbury Oxon OX15 6EH","OX15 6EH",52.072942,-1.375843,NA,NA,NA,52.072942,-1.375843,c(-1.375843, 52.072942)
"81","Cherwell","03/00664/F",NA,NA,"Glebefields 
Drayton
Banbury
Oxon
OX15 6EH","erection of two storey extension to nursing home","Glebefields","Roger Selby","application permitted","delegated","06/06/2003","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/03/00664/F","approved","Glebefields Drayton Banbury Oxon OX15 6EH","OX15 6EH",52.072942,-1.375843,NA,NA,NA,52.072942,-1.375843,c(-1.375843, 52.072942)
"82","Cherwell","02/02563/F",NA,NA,"Heathfield House Nursing Home 
Heathfield
Bletchingdon
Kidlington
Oxon
OX5 3DX","single and two storey extensions to provide 14 no. additional bedrooms, office and reception area and new laundry facility (as amended by plans received 10.03.03 showing internal layout).","Heathfield House Nursing Home","Carl A Middleditch Richard MacAngus","application permitted","committee","01/07/2003","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/02/02563/F","approved","Heathfield House Nursing Home Heathfield Bletchingdon Kidlington Oxon OX5 3DX","OX5 3DX",51.847422,-1.242966,NA,NA,NA,51.847422,-1.242966,c(-1.242966, 51.847422)
"83","Cherwell","01/02441/F",NA,NA,"Green Pastures Nursing Home 
The Hawthorns 
Banbury
Oxon
OX16 9FA","two storey extension to existing premises","Green Pastures Nursing Home","Ademola Oshodi","application permitted","committee","01/03/2002","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/01/02441/F","approved","Green Pastures Nursing Home The Hawthorns Banbury Oxon OX16 9FA","OX16 9FA",52.050074,-1.332456,NA,NA,NA,52.050074,-1.332456,c(-1.332456, 52.050074)
"84","Cherwell","01/02013/F",NA,NA,"St Annes Residential Home 
Clifton
Banbury
Oxon
OX15 0PA","erection of a small timber summer house","St Annes Nursing Home","P T Reeves","application permitted","delegated","30/11/2001","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/01/02013/F","approved","St Annes Residential Home Clifton Banbury Oxon OX15 0PA","OX15 0PA",51.982018,-1.290295,NA,NA,NA,51.982018,-1.290295,c(-1.290295, 51.982018)
"85","Cherwell","99/01520/F",NA,NA,"5 Heathfield
Bletchingdon
Kidlington
Oxon
OX5 3DX","two storey side extension (as amended by revised plans received 21.10.99)","Heathfield Nursing Homes","Carl A Middleditch","application permitted","committee","24/01/2000","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/99/01520/F","approved","5 Heathfield Bletchingdon Kidlington Oxon OX5 3DX","OX5 3DX",51.847422,-1.242966,NA,NA,NA,51.847422,-1.242966,c(-1.242966, 51.847422)
"86","Cherwell","99/01068/F",NA,NA,"Fewcott House 
Fritwell Road
Fewcott
Bicester
Oxon
OX6 9NZ","construction of new section of access drive to nursing home and improvement of existing","W R Good","Brian Cornley","application permitted","committee","02/08/1999","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/99/01068/F","approved","Fewcott House Fritwell Road Fewcott Bicester Oxon OX6 9NZ","OX6 9NZ",NA,NA,51.9590769,-1.2461295,"ok",51.9590769,-1.2461295,c(-1.2461295, 51.9590769)
"87","Cherwell","99/01008/F",NA,NA,"Green Pastures Nursing Home 
The Hawthorns 
Banbury
Oxon
OX16 9FA","two storey extension at rear to from storeroom and extend bedroom","Green Pastures Ltd","s's Address","application refused","committee","16/07/1999","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/99/01008/F","refused","Green Pastures Nursing Home The Hawthorns Banbury Oxon OX16 9FA","OX16 9FA",52.050074,-1.332456,NA,NA,NA,52.050074,-1.332456,c(-1.332456, 52.050074)
"88","Cherwell","99/00484/F",NA,NA,"Glebefields 
Drayton
Banbury
Oxon
OX15 6EH","erection of two storey extension to provide additional bedrooms and lounges for residents including new lift (as amended by agent's letter received in the department on 19.5.99 and plans accompanying agent's letter received 28.5.99)","Glebefields Nursing Home","Roger Selby","application permitted","committee","21/06/1999","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/99/00484/F","approved","Glebefields Drayton Banbury Oxon OX15 6EH","OX15 6EH",52.072942,-1.375843,NA,NA,NA,52.072942,-1.375843,c(-1.375843, 52.072942)
"89","Cherwell","97/02153/F",NA,NA,"Manor House 
Main Street
Merton
Bicester
Oxon
OX25 2NF","variation of condition 2 of outline planning permission chs.649/94, that in the case of any reserved matter, application shall be made not later than the expiration of five years beginning with the date of this permission","The Manor House Nursing Home","Robert Turley Associates Ltd","application permitted","level","15/04/1998","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/97/02153/F","approved","Manor House Main Street Merton Bicester Oxon OX25 2NF","OX25 2NF",51.855678,-1.16227,NA,NA,NA,51.855678,-1.16227,c(-1.16227, 51.855678)
"90","Cherwell","97/01624/F",NA,NA,"Manor House 
Main Street
Merton
Bicester
Oxon
OX25 2NF","extensions and alterations (internal and external) to existing nursing home to provide additional bedrooms, creche, ancillary facilities and new porch","The Manor House Nursing Home","Robert Turley Associates Ltd","application permitted","level","11/09/1998","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/97/01624/F","approved","Manor House Main Street Merton Bicester Oxon OX25 2NF","OX25 2NF",51.855678,-1.16227,NA,NA,NA,51.855678,-1.16227,c(-1.16227, 51.855678)
"91","Cherwell","97/01082/F",NA,NA,"Manor House 
Main Street
Merton
Bicester
Oxon
OX25 2NF","temporary building to provide creche facilities","The Manor House Nursing Home","Banks Design Architects","application permitted","level","28/07/1997","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/97/01082/F","approved","Manor House Main Street Merton Bicester Oxon OX25 2NF","OX25 2NF",51.855678,-1.16227,NA,NA,NA,51.855678,-1.16227,c(-1.16227, 51.855678)
"92","Cherwell","97/00964/F",NA,NA,"Cherwood House 
Buckingham Road
Bicester
Oxon
OX6 9RA","proposed entrance canopy","Cherwood Nursing Home","Dick Wise And Co Ltd","application permitted","level","18/07/1997","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/97/00964/F","approved","Cherwood House Buckingham Road Bicester Oxon OX6 9RA","OX6 9RA",NA,NA,51.9082405,-1.1495523,"ok",51.9082405,-1.1495523,c(-1.1495523, 51.9082405)
"93","Cherwell","97/00734/F",NA,NA,"Heathfield House Nursing Home 
Heathfield
Bletchingdon
Kidlington
Oxon
OX5 3DX","1conservatory to use as extension to day room","Heathfield Nursing Home","Carl A Middleditch","application permitted","level","19/06/1997","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/97/00734/F","approved","Heathfield House Nursing Home Heathfield Bletchingdon Kidlington Oxon OX5 3DX","OX5 3DX",51.847422,-1.242966,NA,NA,NA,51.847422,-1.242966,c(-1.242966, 51.847422)
"94","Cherwell","97/00243/F",NA,NA,"Manor House 
Main Street
Merton
Bicester
Oxon
OX25 2NF","extension to existing nursing home facilities.","The Manor House Nursing Home","Banks Design Architects","application refused","level","01/04/1997","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/97/00243/F","refused","Manor House Main Street Merton Bicester Oxon OX25 2NF","OX25 2NF",51.855678,-1.16227,NA,NA,NA,51.855678,-1.16227,c(-1.16227, 51.855678)
"95","Cherwell","96/00843/F",NA,NA,"Green Pastures Nursing Home 
The Hawthorns 
Banbury
Oxon
OX16 9FA","additional car park spaces involving the felling of a yew tree which is the subject of tree preservation order tpo 12/87.","Green Pastures Nursing Home","s's Address","application permitted","level","07/08/1996","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/96/00843/F","approved","Green Pastures Nursing Home The Hawthorns Banbury Oxon OX16 9FA","OX16 9FA",52.050074,-1.332456,NA,NA,NA,52.050074,-1.332456,c(-1.332456, 52.050074)
"96","West Oxfordshire","23/01182/FUL",NA,NA,"Churchfields Care Home Pound Lane Cassington Witney Oxfordshire OX29 4BN","erection of a two storey detached key worker nurses accommodation block and associated works","","","decided","refuse","Tue 13 Feb 2024","care home","care home","https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?keyVal=RTMKDORKJXI00&activeTab=summary","refused","Churchfields Care Home Pound Lane Cassington Witney Oxfordshire OX29 4BN","OX29 4BN",51.792087,-1.342822,NA,NA,NA,51.792087,-1.342822,c(-1.342822, 51.792087)
"97","West Oxfordshire","24/01724/FUL",NA,NA,"The Langston Nursing Home Station Road Kingham Chipping Norton Oxfordshire OX7 6UP","replacement of existing window on front elevation with new timber window to match existing unit in design, materials, and appearance.","","","decided","approve","Sat 28 Sep 2024","care home","nursing home","https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?keyVal=SFSOWJRK0IA00&activeTab=summary","approved","The Langston Nursing Home Station Road Kingham Chipping Norton Oxfordshire OX7 6UP","OX7 6UP",51.902537,-1.626547,NA,NA,NA,51.902537,-1.626547,c(-1.626547, 51.902537)
"98","West Oxfordshire","24/01620/FUL",NA,NA,"The Langston Nursing Home Station Road Kingham Chipping Norton Oxfordshire OX7 6UP","raise ground levels to form new raised patio, replace hardstanding, extend gravel parking area, and erect fencing with new gates.","","","decided","approve","Tue 20 Aug 2024","care home","nursing home","https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?keyVal=SF81D1RKIXF00&activeTab=summary","approved","The Langston Nursing Home Station Road Kingham Chipping Norton Oxfordshire OX7 6UP","OX7 6UP",51.902537,-1.626547,NA,NA,NA,51.902537,-1.626547,c(-1.626547, 51.902537)
"99","West Oxfordshire","23/02901/FUL",NA,NA,"Newland Nursing Home 50 Newland Witney Oxfordshire OX28 3JG","erection of rear orangery","","","decided","approve","Wed 31 Jan 2024","care home","nursing home","https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?keyVal=S3ECC4RKMZE00&activeTab=summary","approved","Newland Nursing Home 50 Newland Witney Oxfordshire OX28 3JG","OX28 3JG",51.78898,-1.47615,NA,NA,NA,51.78898,-1.47615,c(-1.47615, 51.78898)
"100","Vale of White Horse","P13/V0143/FUL",NA,NA,"Land North of Health Centre Mably Way Wantage (In the parish of Grove) OX12 9BN","erection of two storey 60 bed residential nursing/care home (class c2)with private gardens, associated vehicle parking and servicing area.","Ashley House Plc","BHP Harwood","","refusal of planning permission | appeal: appeal dismissed on 26 november 2013","9th May 2013","care home","care home","https://data.whitehorsedc.gov.uk/java/support/Main.jsp?MODULE=ApplicationDetails&REF=P13/V0143/FUL","refused","Land North of Health Centre Mably Way Wantage (In the parish of Grove) OX12 9BN","OX12 9BN",51.598764,-1.425831,NA,NA,NA,51.598764,-1.425831,c(-1.425831, 51.598764)
"101","Vale of White Horse","P13/V1735/FUL",NA,NA,"Crown Nursing Home High Street Harwell Didcot OX11 0EX","infill of corner under existing roof to create space inside for wc. removal of existing canopy and projecting windows into courtyard, with replacement windows and infill timber cladding.(as amended by drawings received 26 september 2013: removal of window on north facing elevation and new window in west facing elevation)","Mr David Roth","James Boon","","planning permission","24th October 2013","care home","nursing home","https://data.whitehorsedc.gov.uk/java/support/Main.jsp?MODULE=ApplicationDetails&REF=P13/V1735/FUL","approved","Crown Nursing Home High Street Harwell Didcot OX11 0EX","OX11 0EX",51.598758,-1.292658,NA,NA,NA,51.598758,-1.292658,c(-1.292658, 51.598758)
