"","council","reference","date_received","date_validated","address","description","applicant","agent","status","decision","decision_date","category","search_term","url","decision_clean","address_clean","postcode","pc_lat","pc_lon","g_lat","g_lon","g_status","lat","lon","geometry"
"12","Cherwell","20/03043/F",NA,NA,"Fewcott House
Water Lane
Fewcott
Oxfordshire
OX27 7NX","erection of visitors cabin","Fewcott Care Home","Mr I J Coleman","application permitted","delegated","11/01/2021","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/20/03043/F","approved","Fewcott House Water Lane Fewcott Oxfordshire OX27 7NX","OX27 7NX",51.946289,-1.215318,NA,NA,NA,51.946289,-1.215318,c(-1.215318, 51.946289)
"13","Cherwell","20/03044/F",NA,NA,"St Annes Residential Home
Main Street
Clifton
Oxfordshire
OX15 0PA","erection of visitors cabin","St Annes Care Home","Mr I J Coleman","application permitted","delegated","22/12/2020","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/20/03044/F","approved","St Annes Residential Home Main Street Clifton Oxfordshire OX15 0PA","OX15 0PA",51.982018,-1.290295,NA,NA,NA,51.982018,-1.290295,c(-1.290295, 51.982018)
"14","Cherwell","20/02827/F",NA,NA,"Orchard House
Church Lane
Wendlebury
OX25 2PN","change from residential care home (c2) to a single-family dwelling (c3)","Mr. Sheng Yue","Dr. Jinghuan Li","application permitted","delegated","03/12/2020","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/20/02827/F","approved","Orchard House Church Lane Wendlebury OX25 2PN","OX25 2PN",51.873021,-1.187819,NA,NA,NA,51.873021,-1.187819,c(-1.187819, 51.873021)
"15","Cherwell","20/01561/F",NA,NA,"The Ley Community
Sandy Lane
Yarnton
OX5 1PB","erection of 10no dwellings (c3 use class) and care home (c2 use class), new access, parking, landscaping, demolition and other ancillary works","376 Estates & The Ley Community","Edgars Limited","application permitted","committee","18/02/2021","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/20/01561/F","approved","The Ley Community Sandy Lane Yarnton OX5 1PB","OX5 1PB",51.814391,-1.310743,NA,NA,NA,51.814391,-1.310743,c(-1.310743, 51.814391)
"16","Cherwell","19/00998/F",NA,NA,"Wyndham Hall
Skimmingdish Lane
Launton
Bicester
OX26 5AF","creation of eleven car parking spaces - re-submission of 19/00266/f","Maria Mallaband Care Home Group Ltd","ID Planning","application permitted","level","24/07/2019","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/19/00998/F","approved","Wyndham Hall Skimmingdish Lane Launton Bicester OX26 5AF","OX26 5AF",51.906364,-1.129217,NA,NA,NA,51.906364,-1.129217,c(-1.129217, 51.906364)
"17","Cherwell","19/00266/F",NA,NA,"Wyndham Hall
Skimmingdish Lane
Launton
Bicester
OX26 5AF","creation of eleven car parking spaces","Maria Mallaband Care Home Group Ltd","ID Planning","application permitted","delegated","05/04/2019","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/19/00266/F","approved","Wyndham Hall Skimmingdish Lane Launton Bicester OX26 5AF","OX26 5AF",51.906364,-1.129217,NA,NA,NA,51.906364,-1.129217,c(-1.129217, 51.906364)
"18","Cherwell","17/01428/F",NA,NA,"Part Of OS Parcels 0625 And 0914 North Of Coopers
Buckingham Road
Bicester","erection of two-storey 64 bed care home for older people (class c2 use) with associated new access (off skimmingdish lane), parking and landscaping, and new linear park/public open space","LNT Care Developments Ltd/Greenlight Developments Ltd","LNT Care Developments Ltd/Greenlight Developments","appeal allowed (against refusal)","committee","27/11/2017","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/17/01428/F","unknown","Part Of OS Parcels 0625 And 0914 North Of Coopers Buckingham Road Bicester",NA,NA,NA,51.9129114,-1.1454213,"ok",51.9129114,-1.1454213,c(-1.1454213, 51.9129114)
"19","Cherwell","17/00802/F",NA,NA,"Land To Rear Of Gracewell Care Home
Gardner Way
Adderbury","the construction of a 36 no. bedroom specialist nursing facility (associated with dementia care and neurological rehabilitation) (use class c2) with associated access, parking, landscaping and tree planting.","Hamberley Development Ltd","UK Planning Agency Ltd","application permitted","committee","04/08/2017","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/17/00802/F","approved","Land To Rear Of Gracewell Care Home Gardner Way Adderbury",NA,NA,NA,52.017428,-1.315045,"ok",52.017428,-1.315045,c(-1.315045, 52.017428)
"20","Cherwell","17/00032/F",NA,NA,"Argoed
164 Woodstock Road
Yarnton
Kidlington
OX5 1PW","change of use from a residential care home (class c2) to 1 no three bedroom house (class c3)","The Ley Community","Edgars Limited","application permitted","delegated","06/03/2017","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/17/00032/F","approved","Argoed 164 Woodstock Road Yarnton Kidlington OX5 1PW","OX5 1PW",51.812918,-1.310954,NA,NA,NA,51.812918,-1.310954,c(-1.310954, 51.812918)
"21","Cherwell","15/01233/F",NA,NA,"5 Park Road
Banbury
OX16 0DW","change of use from residential property to plant room and ancillary use for care home","Greenpastures Nursing Home","Carless & Adams Partnership","application permitted","delegated","09/12/2015","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/15/01233/F","approved","5 Park Road Banbury OX16 0DW","OX16 0DW",52.060551,-1.347382,NA,NA,NA,52.060551,-1.347382,c(-1.347382, 52.060551)
